Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG02154	12.7636	0.9864
HG02155	2.5937	0.6897
HG02156	2.504	0.6769
HG02164	1.9766	0.5699
HG02165	2.0838	0.5938
HG02166	2.1608	0.6054
HG02178	2.758	0.7121
HG02179	6.1675	0.9293
HG02180	7.0266	0.9445
HG02181	4.9988	0.8886
HG02182	2.715	0.7053
HG02184	4.233	0.8486
HG02185	1.1815	0.3055
HG02186	7.7912	0.9553
HG02187	7.8248	0.9561
HG02188	14.9006	0.9932
HG02190	2.3795	0.6573
HG02215	5.8049	0.9161
HG02219	2.1933	0.6142
HG02220	1.2662	0.3419
HG02221	2.7863	0.7177
HG02223	2.1665	0.6078
HG02224	0.7865	0.1026
HG02230	1.132	0.2847
HG02231	2.4424	0.6689
HG02232	1.2723	0.3442
HG02233	12.358	0.9852
HG02235	1.8846	0.5479
HG02236	3.0778	0.7576
HG02238	3.1693	0.7708
HG02239	0.8269	0.1234
HG02250	2.1056	0.5966
HG02252	5.357	0.9002
HG02253	4.5988	0.8702
HG02255	1.3682	0.3814
HG02256	1.0036	0.2192
HG02259	7.5564	0.9509
HG02260	13.041	0.9884
HG02262	10.8862	0.9796
HG02265	3.4598	0.8007
HG02266	3.8278	0.8259
HG02271	8.9468	0.9673
HG02272	22.7167	0.998
HG02274	16.2973	0.9956
HG02275	24.4322	0.9988
HG02277	4.1862	0.8466
HG02278	8.9325	0.9669
HG02281	1.9953	0.5743
HG02282	0.7209	0.0723
HG02283	1.1916	0.3095
HG02284	0.5647	0.0176
HG02285	10.6164	0.9788
HG02286	2.6438	0.6961
HG02291	29.0902	0.9992
HG02292	5.0536	0.8926
HG02298	2.325	0.6438
HG02299	2.0968	0.5958
HG02301	3.3754	0.7943
HG02304	10.495	0.9776
HG02307	4.1099	0.8423
HG02308	9.3157	0.9696
HG02309	5.4942	0.9065
HG02312	3.2139	0.776
HG02314	1.1246	0.2808
HG02315	0.9729	0.2009
HG02317	0.3576	8e-04
HG02318	0.7128	0.0667
HG02322	3.3615	0.7931
HG02323	0.9929	0.2137
HG02325	1.6585	0.4828
HG02330	1.043	0.2404
